param,covariate,coef,exp(coef),p,abs_coef
lambda_,Intercept,3.110484800713952,22.43191677433367,0.0,3.110484800713952
rho_,Intercept,1.293872134461679,3.6468804629094067,0.0,1.293872134461679
lambda_,area_SOUTHWEST AREA,0.24443780834978385,1.2769032470347799,2.3513193538010285e-236,0.24443780834978385
lambda_,area_LOS ANGELES AREA,0.17658826530266672,1.193139734951829,1.5546136561337943e-126,0.17658826530266672
lambda_,area_MIDWEST AREA,0.13330167404894652,1.1425946374945322,1.2555266703727021e-71,0.13330167404894652
lambda_,dualband_T,-0.11690096742899267,0.8896732954346456,2.877563318816729e-57,0.11690096742899267
lambda_,area_CENTRAL/SOUTH TEXAS AREA,0.10948502148170713,1.1157033592268142,3.13179522330962e-40,0.10948502148170713
lambda_,area_DALLAS AREA,0.08808520950625595,1.0920811737613028,3.415520728922375e-31,0.08808520950625595
lambda_,dualband_Y,-0.08242773972682993,0.9208779783469303,1.9122135562049725e-157,0.08242773972682993
lambda_,area_GREAT LAKES AREA,0.08094380676048435,1.084309963965262,2.2713586833664356e-24,0.08094380676048435
lambda_,area_TENNESSEE AREA,0.07464973492558057,1.077506671825031,4.129140882199255e-15,0.07464973492558057
lambda_,new_cell_U,-0.07152881748619234,0.9309694490090551,2.7322931144118865e-77,0.07152881748619234
lambda_,area_HOUSTON AREA,0.0595966314882473,1.0614083214899128,3.314048438853178e-13,0.0595966314882473
lambda_,area_OHIO AREA,0.051357200676453794,1.052698850874688,1.6459270545735625e-10,0.051357200676453794
lambda_,area_NEW YORK CITY AREA,0.05016215783669248,1.0514415820452099,1.4213680564324305e-14,0.05016215783669248
lambda_,area_NORTHWEST/ROCKY MOUNTAIN AREA,0.04882217824755392,1.0500336153201069,3.029935246439446e-10,0.04882217824755392
lambda_,area_DC/MARYLAND/VIRGINIA AREA,0.04624997531767907,1.0473361864327906,3.100948555255178e-10,0.04624997531767907
lambda_,area_CALIFORNIA NORTH AREA,0.03626619155409496,1.0369318322526726,6.995104588027833e-07,0.03626619155409496
lambda_,area_NEW ENGLAND AREA,0.03530053535077329,1.035930995906122,2.205804968667661e-06,0.03530053535077329
lambda_,area_NORTH FLORIDA AREA,0.031513343014718385,1.032015145697057,6.966266024354439e-05,0.031513343014718385
lambda_,area_CHICAGO AREA,0.029507785091087944,1.0299474536754232,0.00010927412296292512,0.029507785091087944
lambda_,area_PHILADELPHIA AREA,0.024126412400151554,1.0244198090726313,0.011728786269195757,0.024126412400151554
lambda_,area_SOUTH FLORIDA AREA,0.018413601186251807,1.0185841769031379,0.030899592062695262,0.018413601186251807
lambda_,asl_flag_Y,-0.016664720629293885,0.9834733676956839,0.0001583060728528275,0.016664720629293885
lambda_,avgrev,-0.007197070802952484,0.9928287660906443,0.0,0.007197070802952484
lambda_,new_cell_Y,-0.002137664744441469,0.9978646184336588,0.6330171001598044,0.002137664744441469
lambda_,adjrev,0.0016631192003743768,1.001664502950119,0.0,0.0016631192003743768
lambda_,totrev,-0.0009774350021236413,0.9990230425318692,0.0,0.0009774350021236413
lambda_,totcalls,0.0006156156100871565,1.0006158051402674,9.767235942498778e-42,0.0006156156100871565
lambda_,adjqty,-0.0005954828071682882,0.9994046944575308,2.424683842935052e-38,0.0005954828071682882
lambda_,change_rev,-0.00029143243896348177,0.9997086100233447,2.9951888452878415e-30,0.00029143243896348177
lambda_,avg3qty,-0.00027121581566610746,0.9997288209600185,1.1274745193998343e-21,0.00027121581566610746
lambda_,avgmou,-0.000239049037923243,0.9997609795320215,1.0921746382871873e-37,0.000239049037923243
lambda_,rev_Mean,-0.00017991901889230307,0.9998200971655637,0.0005581582984563262,0.00017991901889230307
lambda_,avg3mou,0.00017676689837543927,1.0001767825225643,2.8863904150445504e-28,0.00017676689837543927
lambda_,mouowylisv_Mean,-0.00012577919677847182,0.9998742287130931,0.000358230871489718,0.00012577919677847182
lambda_,avg6mou,0.000101909594539333,1.0001019147874985,1.91913048968323e-14,0.000101909594539333
lambda_,change_mou,8.754025664038183e-05,1.0000875440884005,6.104188090929851e-36,8.754025664038183e-05
lambda_,avgqty,4.273961821252042e-05,1.000042740531563,0.2958403444927807,4.273961821252042e-05
lambda_,mou_peav_Mean,-3.44975503631761e-05,0.9999655030446705,0.027882459814592562,3.44975503631761e-05
lambda_,mou_Mean,-3.148581483042786e-05,0.9999685146808427,0.019497381991722105,3.148581483042786e-05
lambda_,mou_cvce_Mean,2.2108885498167747e-05,1.0000221091299013,0.2149631379634397,2.2108885498167747e-05
lambda_,adjmou,-1.699051018321844e-05,0.9999830096341547,0.3212013989613679,1.699051018321844e-05
lambda_,mou_opkv_Mean,-9.522583874434693e-06,0.9999904774614652,0.5698990054540651,9.522583874434693e-06
lambda_,totmou,3.180994912865689e-08,1.0000000318099496,0.9984993505462766,3.180994912865689e-08
